i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_Ac,ar_Ap,∆Ac,∆Ap
123.0,0.4598,0.4919,0.0065,0.4656,0.4999,0.0916,0.0172,0.0267,0.1235,0.1329,0.0,0.0,0.0,0.0,0.5184,0.0,0.0,0.0
124.0,0.4839,0.4802,0.0058,0.4608,0.4874,0.0942,0.0144,0.0267,0.1235,0.1329,0.0,0.0,0.0,0.0,0.5043,0.0,0.0,0.0
125.0,0.4742,0.4648,0.0065,0.4813,0.5231,0.0913,0.0144,0.0267,0.1029,0.1108,0.0,0.0,0.0,0.0,0.4855,0.0,0.0,0.0
126.0,0.4643,0.5066,0.0064,0.4688,0.5058,0.0935,0.0144,0.0223,0.1029,0.1108,0.0,0.0,0.0,0.0,0.4716,0.0,0.0,0.0
127.0,0.4901,0.492,0.0066,0.4635,0.4887,0.0926,0.012,0.0223,0.1029,0.1108,0.0,0.0,0.0,0.0,0.4556,0.0,0.0,0.0
128.0,0.4778,0.4821,0.0064,0.4579,0.476,0.0946,0.012,0.0223,0.1029,0.1108,0.0,0.0,0.0,0.0,0.5011,0.0,0.0,0.0
129.0,0.4722,0.4662,0.0065,0.476,0.4627,0.0949,0.012,0.0223,0.0857,0.1108,0.0,0.0,0.0,0.0,0.4875,0.0,0.0,0.0
130.0,0.4602,0.5078,0.0059,0.4717,0.5083,0.0961,0.012,0.0185,0.0857,0.0923,0.0,0.0,0.0,0.0,0.4712,0.0,0.0,0.0
131.0,0.4525,0.4944,0.0061,0.463,0.4854,0.0895,0.012,0.0185,0.0857,0.0923,0.0,0.0,0.0,0.0,0.5171,0.0,0.0,0.0
132.0,0.4748,0.4778,0.0063,0.4847,0.4743,0.0893,0.01,0.0185,0.0714,0.0923,0.0,0.0,0.0,0.0,0.5002,0.0,0.0,0.0
133.0,0.4708,0.5232,0.0062,0.4769,0.5169,0.088,0.01,0.0155,0.0714,0.0769,0.0,0.0,0.0,0.0,0.4826,0.0,0.0,0.0
134.0,0.4599,0.5052,0.0059,0.4667,0.4974,0.0903,0.01,0.0155,0.0714,0.0769,0.0,0.0,0.0,0.0,0.4701,0.0,0.0,0.0
135.0,0.4853,0.4853,0.0061,0.4634,0.4873,0.0905,0.0083,0.0155,0.0714,0.0769,0.0,0.0,0.0,0.0,0.517,0.0,0.0,0.0
136.0,0.4774,0.4692,0.006,0.4559,0.4763,0.0905,0.0083,0.0155,0.0714,0.0769,0.0,0.0,0.0,0.0,0.4979,0.0,0.0,0.0
137.0,0.4702,0.4568,0.0063,0.4757,0.5111,0.0893,0.0083,0.0155,0.0595,0.0641,0.0,0.0,0.0,0.0,0.4792,0.0,0.0,0.0
138.0,0.4602,0.4976,0.007,0.4694,0.4975,0.0884,0.0083,0.0129,0.0595,0.0641,0.0,0.0,0.0,0.0,0.4637,0.0,0.0,0.0
139.0,0.4839,0.4835,0.006,0.4613,0.4869,0.0879,0.0069,0.0129,0.0595,0.0641,0.0,0.0,0.0,0.0,0.5117,0.0,0.0,0.0
140.0,0.4762,0.4726,0.0058,0.4844,0.4718,0.0888,0.0069,0.0129,0.0496,0.0641,0.0,0.0,0.0,0.0,0.4935,0.0,0.0,0.0
141.0,0.4672,0.5118,0.006,0.4749,0.5134,0.0905,0.0069,0.0107,0.0496,0.0534,0.0,0.0,0.0,0.0,0.4796,0.0,0.0,0.0
142.0,0.4557,0.4964,0.0058,0.4679,0.4994,0.0914,0.0069,0.0107,0.0496,0.0534,0.0,0.0,0.0,0.0,0.4616,0.0,0.0,0.0
143.0,0.4827,0.4817,0.0058,0.488,0.4824,0.0904,0.0058,0.0107,0.0413,0.0534,0.0,0.0,0.0,0.0,0.5109,0.0,0.0,0.0
144.0,0.4749,0.4695,0.0059,0.4768,0.4664,0.0891,0.0058,0.0107,0.0413,0.0534,0.0,0.0,0.0,0.0,0.4956,0.0,0.0,0.0
145.0,0.4653,0.5104,0.0057,0.4717,0.5047,0.0911,0.0058,0.0089,0.0413,0.0445,0.0,0.0,0.0,0.0,0.4781,0.0,0.0,0.0
146.0,0.457,0.4906,0.0062,0.4619,0.4931,0.0897,0.0058,0.0089,0.0413,0.0445,0.0,0.0,0.0,0.0,0.4611,0.0,0.0,0.0
147.0,0.4787,0.484,0.0057,0.4845,0.4766,0.091,0.0048,0.0089,0.0345,0.0445,0.0,0.0,0.0,0.0,0.5075,0.0,0.0,0.0
148.0,0.4731,0.5271,0.0059,0.4778,0.4611,0.0888,0.0048,0.0075,0.0345,0.0445,0.0,0.0,0.0,0.0,0.4909,0.0,0.0,0.0
149.0,0.4636,0.5095,0.0057,0.47,0.5028,0.0909,0.0048,0.0075,0.0345,0.0371,0.0,0.0,0.0,0.0,0.474,0.0,0.0,0.0
150.0,0.4886,0.4976,0.0057,0.4618,0.4859,0.0925,0.004,0.0075,0.0345,0.0371,0.0,0.0,0.0,0.0,0.5255,0.0,0.0,0.0
0.0,0.4935,0.4731,0.2677,0.4592,0.5195,0.4844,2.6418,4.2467,5.2836,6.1152,0.5063,0.4834,0.0004,0.0014,0.4567,0.0,0.0,0.0
