j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
61,0.53535524,401088.7314205654,401134.19745780196,5.479615760321769,1.1328960971639532, 1.935244472346986,0.5249517404958932,0.06108473406449022,8.25942903333224e-6, 0.08759529104449885,0.01954986271623663,-0.9380015889005877, -1.727264102600022,0.4685655995436241,0.25223753484667416,4.824561652504034e-5, 0.050736026594628,0.022348368061584047,0.0,0.0
62,0.50986213,400996.10760780785,401042.4422017529,6.06318668113255,1.1329322315771413, 1.8312619676743054,0.49190879750060246,0.8445191021088465,1.5094627766890432e-5, 0.05240871727041536,0.01472468797578775,-0.9373597909334865, -1.8306830614269898,0.5286570373530004,0.5083247343054574,2.338321897059032e-5, 0.041856077242643557,0.01881464571708185,0.0,0.0
63,0.48558298,400921.2565188959,400958.1664760484,4.844290813779303,1.132981976740126, 1.8879051525101425,0.51181418615881,0.983403140906411,2.1979499084673268e-5, 0.06323985603735396,0.016545947990959518,-0.9368792039175631, -1.7883507916855899,0.507424589323605,0.146825488996255,4.825936756339955e-5, 0.03642131406895799,0.016543938782861322,0.0,0.0
64,0.46245998,400833.09814225475,400878.94465236296,6.099309423589535,1.1330140350672244, 1.8530710470730067,0.5002251416180565,0.027091903341993295,1.3347015038747707e-5, 0.05730446578984781,0.01519437996237232,-0.9361927327903482, -1.7123915527002378,0.4782668147157983,0.8240536281426742,5.5621017524886234e-5, 0.034338457022576326,0.014940927603296746,0.0,0.0
65,0.44043808,400747.7133639069,400789.05026902165,5.729364917711115,1.1330829989711833, 1.7962788937852412,0.49162735870979,0.39072626579349073,1.8681191956599612e-5, 0.07182230990605441,0.020049821717585674,-0.9355526690293618, -1.707950500198924,0.4693542071535465,0.7612378418415422,3.330609764479847e-5, 0.03799043192905279,0.01749429052075993,0.0,0.0
66,0.41946484,400677.9719453824,400712.6829913442,4.572514310783476,1.1331510181439526, 1.8822270769357292,0.5138299948928038,0.9233621817029419,1.786673854017906e-5, 0.0719149214045928,0.018140005804066328,-0.9350677608902922, -1.8063210004609516,0.5225637796434615,0.9854591666799817,3.54360686978418e-5, 0.037206847825638024,0.017613923813826652,0.0,0.0
67,0.39949032,400630.46343111596,400651.5261007304,2.8395728349936573,1.1331528936292392, 1.8543970906246354,0.5043533909950775,0.11492938179622347,1.6917628967292034e-5, 0.05953040165452642,0.01621281919985622,-0.9345450957016895, -1.7498089810611854,0.5031537877877674,0.7736064404058287,3.632414014222591e-5, 0.026720500694516345,0.014055261573538902,0.0,0.0
68,0.38046697,400585.82453455095,400608.3691774193,3.026585905360628,1.1331499421253786, 1.8458331169939082,0.5053512760213024,0.24053553274369815,1.7799973865164936e-5, 0.07821816447627263,0.02011128989975025,-0.9341374789686885, -1.8483314613824366,0.537665284578875,0.6665197947923533,2.0428760769071876e-5, 0.04693257891391657,0.02117341797716236,0.0,0.0
69,0.3623495,400533.4923210435,400559.1289234946,3.540177848979364,1.1332290633158721, 1.8177801432045833,0.48773172142340704,0.5313137386803992,1.5930047071701383e-5, 0.07553122810523057,0.022368130811211747,-0.9337578284423577, -1.6733741416236778,0.4549699851233561,0.11894809489085767,4.267812922807889e-5, 0.04208391017909064,0.019379528717095033,0.0,0.0
70,0.34509476,400482.99010449415,400505.8116118563,3.3268077725243055,1.1332593255015033, 1.849495544885195,0.4955367402871035,0.8000834382544346,1.4812790549385979e-5, 0.0901558575994647,0.023343235198014147,-0.9334412554615339, -1.8353835552359115,0.5233724935673238,0.7669604678761266,1.4812413426257838e-5, 0.05208901432341438,0.022422383525235477,0.0,0.0
71,0.32866168,400428.7557257826,400454.99468562595,3.7376222174531772,1.1332478625194624, 1.8281698479811195,0.48689132181175515,0.24072042047113335,1.4714304690839353e-5, 0.07781037122721958,0.024679250352846908,-0.9330859117180536, -1.7942277517943506,0.5166936413628912,0.7713202567017341,2.2495399462551857e-5, 0.044519679671913094,0.022464745412241936,0.0,0.0
