j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
30,2.42946321,0.7327146800276402,1.2477037765861698,0.012236103487699594,1.5811171379879796, 1.6934510142244683,0.4859669526791041,0.7499405416094562,0.0004082996822505228, 0.004241849424388717,0.00970047507750044,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
31,2.31377449,0.7327146800276402,1.2097609215606613,0.016422569436404442,1.5785656823598249, 1.6929960202927368,0.4901322018032741,0.1415815924221997,0.00031146568937861173, 0.00680859786846963,0.015818309170306008,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
32,2.20359475,0.7327146800276402,1.1862049160702681,0.021429171505345776,1.5762418690805737, 1.6985323195222293,0.5057692342709743,0.5486302188789574,0.0003701653555054487, 0.0072951270038142954,0.017402765335223315,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
33,2.09866167,0.7327146800276402,1.198209764337553,0.011191405023550191,1.5760132705774523, 1.697707475200782,0.5061947569888016,0.5994050257692751,0.000327986042640646, 0.006603952131621157,0.01474511608354591,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
34,1.9987254,0.7327146800276402,1.1425717423374575,0.006485947859565061,1.5735086135573775, 1.706880320225729,0.5247244893123695,0.5114663616128581,0.0002775641327727943, 0.0045942943233069035,0.010170253587113865,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
35,1.903548,0.7327146800276402,1.1033913189659512,0.007515596283473767,1.5733758620186937, 1.6896722254307643,0.48522409562847335,0.5741114731266668,0.0006105185360802649, 0.005923120827971753,0.014441807022035779,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
36,1.81290285,0.7327146800276402,1.170140103257076,0.013116393167515126,1.5742168642397385, 1.6890656831170971,0.4785617221904895,0.6957095727146336,0.00029419406982272677, 0.006200688786403646,0.014372863487344564,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
37,1.72657415,0.7327146800276402,1.050873652968368,0.01090725527105322,1.5741913066323603, 1.7078452643601345,0.5266244733854837,0.5075798727982939,0.0003087389736023586, 0.004992812591653387,0.011599337554314956,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
38,1.64435633,0.7327146800276402,1.0243551138533955,0.01411594399522641,1.5732544684158354, 1.712712249652331,0.5281817712213872,0.6940535906859155,0.0003869362921243105, 0.009203600281246666,0.020291004234517976,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
39,1.56605365,0.7327146800276402,1.0513779589241943,0.0072807937355845445,1.5781193602481165, 1.6848907093745829,0.47378417356148417,0.9588555868353681,0.00021428716558877418, 0.008235732986503085,0.02063247904625609,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
40,1.49147966,0.7327146800276402,1.0718124857219524,0.00674364570046096,1.5772819222499546, 1.6865787842633366,0.4753998394414696,0.1310223571520247,0.0004396516568960617, 0.007596538466834561,0.01666705384921339,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
41,1.42045682,0.7327146800276402,1.0382451869099745,0.006500305756464501,1.5774802381483561, 1.70921857500464,0.535823452116568,0.5834664216447328,0.0003392054672534354, 0.005036882286047895,0.011386694089249071,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
42,1.35281602,0.7327146800276402,1.0607573984357388,0.011754540675997103,1.5763037500606374, 1.68425837770004,0.4810766702402639,0.463349439554376,0.00022233837812612607, 0.006630270628726046,0.01665105080747549,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
43,1.28839621,0.7327146800276402,1.0923090270876616,0.017491346280365843,1.575533023287319, 1.7031846297207154,0.5151891508753735,0.9461797479766619,0.0003229976144688027, 0.008189606560863035,0.01860258411480117,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
44,1.22704401,0.7327146800276402,1.026248022985475,0.0065921133179084965,1.5751118723831312, 1.709107578953993,0.5323480197020064,0.5609297992096478,0.00029995223088071405, 0.008787020582344141,0.019771216075801696,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
45,1.16861334,0.7327146800276402,1.0021711798434505,0.00820329849939405,1.570363660779919, 1.7140710291581152,0.5385866576900302,0.06206551102219663,0.0005889945422904192, 0.0075979433802233825,0.01687404199537572,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
