j,ar_cont_s,∆w_cont_s,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
19,NaN,NaN,0.0,0.0,0.49186507936507945,0.0007879218469894183,0.4867037724180581,7.818181818181818,0.0
20,NaN,NaN,0.0,0.0,0.4754999999999999,0.0007776141794672861,0.4779220779220781,8.155844155844155,0.0
21,NaN,NaN,0.0,0.0,0.4889999999999999,0.0007430137109852368,0.478961038961039,7.636363636363637,0.0
22,NaN,NaN,0.0,0.0,0.4884999999999999,0.0008345535550518801,0.49766233766233786,7.6103896103896105,0.0
23,NaN,NaN,0.0,0.0,0.4919999999999999,0.0007918749410847105,0.4857142857142859,7.9480519480519485,0.0
24,NaN,NaN,0.0,0.0,0.49024999999999996,0.0007659333589077003,0.4706493506493505,7.441558441558442,0.0
25,NaN,NaN,0.0,0.0,0.47850000000000004,0.0006184218808393193,0.5057142857142856,6.935064935064935,0.0
26,NaN,NaN,0.0,0.0,0.46900000000000014,0.0007144180065058359,0.521818181818182,7.1558441558441555,0.0
27,NaN,NaN,0.0,0.0,0.4802500000000001,0.0007237671704721436,0.49584415584415586,6.805194805194805,0.0
28,NaN,NaN,0.0,0.0,0.4790000000000001,0.0006861753698627889,0.49610389610389605,6.987012987012987,0.0
29,NaN,NaN,0.0,0.0,0.47300000000000014,0.0006159975321166097,0.5028571428571429,6.571428571428571,0.0
30,NaN,NaN,0.0,0.0,0.4637500000000001,0.0005337410814130496,0.4870129870129869,6.779220779220779,0.0
31,NaN,NaN,0.0,0.0,0.4965,0.0005934521336111708,0.5155844155844157,6.5064935064935066,0.0
